"Name","Team","AB","AVG","OBP","SLG","OPS","H","BB","R","RBI","1B","2B","3B","HR","IBB","SO","HBP","SF","GDP","SB","GB","FB","Balls","Strikes","BB%","K%","BB/K","ISO","BABIP","GB/FB","wOBA","Bat","Fld","BsR","WAR","Dol","Barrels","Barrel%","xwOBA","playerid"
"Drew Waters","KCR","96",".240",".324",".479",".803","23","12","14","18","11","6","1","5","0","40","0","0","1","0","27","19","160","273","11.0%","36.7%","0.30",".240",".353","1.42",".347","3.1","-2.2","-0.2","0.4","$2.9","7","12.3%",".293","20505"
"Alejandro Kirk","TOR","470",".285",".372",".415",".786","134","63","59","63","101","19","0","14","2","58","4","4","11","0","208","128","862","1338","11.6%","10.7%","1.09",".130",".299","1.63",".347","17.5","8.6","-7.1","3.8","$30.6","28","6.7%",".351","22581"
"Hunter Renfroe","MIL","474",".255",".315",".492",".807","121","39","62","72","68","23","1","29","1","121","4","3","11","1","128","165","729","1298","7.5%","23.2%","0.32",".236",".281","0.78",".347","14.5","-0.1","-1.6","2.5","$20.4","39","10.9%",".323","15464"
"Christian Walker","ARI","583",".242",".327",".477",".804","141","69","84","94","78","25","2","36","2","131","8","7","15","2","176","203","1003","1540","10.3%","19.6%","0.53",".235",".248","0.87",".346","17.2","11.8","-0.3","4.1","$32.7","53","11.5%",".359","13419"
"Rhys Hoskins","PHI","589",".246",".332",".462",".794","145","72","81","79","80","33","2","30","0","169","6","4","12","2","151","177","1138","1759","10.7%","25.1%","0.43",".216",".292","0.85",".345","17.1","-3.6","-3.4","2.2","$17.8","47","11.1%",".338","16472"
"Vaughn Grissom","ATL","141",".291",".353",".440",".792","41","11","24","18","30","6","0","5","1","34","3","1","0","5","48","33","191","397","7.1%","21.8%","0.32",".149",".350","1.45",".345","3.8","-4.7","1.9","0.7","$5.8","8","7.4%",".326","26031"
"Michael Brantley","HOU","243",".288",".370",".416",".785","70","31","28","26","50","14","1","5","2","30","1","1","1","1","95","67","390","616","11.2%","10.8%","1.03",".128",".311","1.42",".345","8.4","0.1","-0.7","1.2","$9.7","13","6.0%",".374","4106"
"Eugenio Suarez","SEA","543",".236",".332",".459",".791","128","73","76","87","71","24","2","31","0","196","8","5","12","0","120","161","1038","1579","11.6%","31.2%","0.37",".223",".302","0.75",".344","21.8","-0.2","-2.5","4.1","$32.8","52","14.8%",".339","12552"
"Austin Slater","SFG","277",".264",".366",".408",".774","73","40","49","34","49","15","2","7","0","89","6","2","9","12","97","48","487","839","12.3%","27.4%","0.45",".144",".361","2.02",".344","9.2","-3.4","3.5","2.1","$17.1","20","10.5%",".351","16153"
"Triston Casas","BOS","76",".197",".358",".408",".766","15","19","11","12","9","1","0","5","0","23","0","0","4","1","30","19","182","230","20.0%","24.2%","0.83",".211",".208","1.58",".344","2.1","0.9","-1.1","0.3","$2.7","4","7.5%",".325","22514"
